case;channel;program;date;title;decision_date;decision
13_00479;Kunskapskanalen;Samtiden;2013-02-23;UR, UR Samtiden (Kunskapskanalen), inslag om främlingsfientligheten i Sverige;2013-06-14;Acquittal
13_00545;Kunskapskanalen;UR Samtiden;2013-03-03;UR, (Kunskapskanalen), UR Samtiden, inslag om främlingsfientligheten i Sverige;2013-06-14;Acquittal
13_00667;Kunskapskanalen;Är västvärldens storhetstid förbi?;2013-02-02;SVT Kunskapskanalen, Är västvärldens storhetstid förbi? program om västvärldens historia;2013-07-03;Acquittal
13_00667;Kunskapskanalen;Är västvärldens storhetstid förbi?;2013-02-02;SVT Kunskapskanalen, Är västvärldens storhetstid förbi? program om västvärldens historia;2013-07-03;Acquittal
13_01692;Kunskapskanalen;En bok, en författare: Hjärnrevolutionen;2013-07-16;UR, En bok, en författare: Hjärnrevolutionen (Kunskapskanalen) inslag om en bok;2013-08-27;Acquittal
13_01704;Kunskapskanalen;Pengar - näst viktigast efter kärleken?;2013-07-17;UR, Pengar - näst viktigast efter kärleken? (Kunskapskanalen), inslag om konsumentmakt;2013-08-27;Acquittal
13_03034;Kunskapskanalen;Är västvärldens storhetstid förbi? (del 2);2013-12-22;UR, Kunskapskanalen, Är västvärldens storhetstid förbi, program om hur västvärlden blev en supermakt;2014-04-03;Acquittal
14_01160;Kunskapskanalen;En bok, en författare;2014-03-24;UR (Kunskapskanalen), En bok, en författare, program om en nyutgiven bok;2014-10-13;Conviction
15_00684;Kunskapskanalen;Antikmagasinet;2015-03-06;Antikmagasinet, Kunskapskanalen, program om armbandsur;2015-05-25;Acquittal
15_01171;Kunskapskanalen;Tysklands fall;2015-05-05;Världens fakta:Tysklands fall, Kunskapskanalen, program om andra världskriget;2015-06-08;Acquittal
15_02107;Kunskapskanalen;Planetens gränser;2015-06-14;Kunskapskanalen, Planetens gränser program om Amazonas regnskog;2015-11-20;Acquittal
15_02906;Kunskapskanalen;Kunskapskanalen, Studio Plus;2015-10-22;UR, Kunskapskanalen, Studio Plus inslag om potatis från Israel;2015-12-18;Acquittal
16_01779;Kunskapskanalen;Ovädrens planet;2016-04-30;Ovädrens planet, Kunskapskanalen, program om oväder;2016-09-16;Acquittal
16_03287;Kunskapskanalen;Israels mediestrategi i USA;2016-11-10;UR (Kunskapskanalen), Israels mediestrategi i USA, program om hur pro-israelisk lobbyverksamhet påverkar amerikanska medier;2017-05-02;Acquittal
